第一世代(1972－1977)
Odyssey（奥德赛）


第二世代(1976-1983)
(Atari) 2600

第三世代(1983-1987)

Nintendo 

Family computer 

第四世代(1987-1994)
1987年，SEGA（世嘉）公司在日本推出Mega Drive(MD，美国称Genesis)
NEC也联合Hudson推出了PC-Engine。这是第一台可加装CD-ROM的游戏机
Super family computer 
1991年8月13日，任天堂在美国推出了将SFC重新设计的Super Nintendo Entertainment System(SNES)

第五世代(1994-2002)
1992年，世嘉（SEGA）成立了“Giga-Drive”研发项目，开发了“SEGA Saturn (SS，土星）

1994年12月3日，PlayStation(PS)正式发售
PlayStation1代(PS1)
Nintendo 64

第六世代(1998-2004)
Dreamcast(DC)—梦(Dream)与传播(Broadcast)的合成词。意思是将梦传播给玩家
PlayStation 2(PS2)
任天堂NGC

2001年11月15日，微软发布了Xbox游戏主机

第七世代(2005----至今)

2005年5月，Sony正式发表PlayStation 3(PS3)




Wii 
Wii U

Sony 
PlayStation 
PlayStation 2
PlayStation 3
PlayStation 4

Microsoft 

Xbox 
Xbox360
Xbox one 




Emulators
name score
Mesen 8.9 
Nestopia UE 8.7
Jnes  8.6
FCEUX  8.3
VirtuaNES  8.2
BizHawk 8.1 




Field Combat	—	July 9, 1985	Jaleco
Fighting Golf	Lee Trevino's Fighting Golf	March 24, 1988	SNK
Fighting Road	—	December 13, 1988	Toei Animation
Final Fantasy	Final Fantasy	December 18, 1987	Square
Final Fantasy I+II	—	February 27, 1994	Square
Final Fantasy II	—	December 17, 1988	Square
Final Fantasy III	—	April 27, 1990	Square
Final Lap	—	August 12, 1988	Namco
Final Mission	S.C.A.T.: Special Cybernetic Attack Team	June 22, 1990	Natsume
Fire Emblem: Shadow Dragon and the Blade of Light	—	April 20, 1990	Nintendo
Fire Emblem Gaiden	—	March 14, 1992	Nintendo
Flappy	—	June 14, 1985	DB Soft
Fleet Commander	—	March 29, 1988	ASCII
Flintstones: The Rescue of Dino and Hoppy	Flintstones, The: The Rescue of Dino & Hoppy	August 7, 1992	Taito
Flipull	—	December 15, 1989	Taito
Flying Hero	—	February 17, 1989	Epic/Sony Records
Formation Z	—	April 4, 1985	Jaleco
Front Line	—	August 1, 1985	Taito
Fudou Myououden	Demon Sword	March 29, 1988	Taito
Fushigi na Blobby	A Boy and His Blob: Trouble on Blobolonia	November 29, 1990	Jaleco
Fushigi no Umi no Nadia	—	March 15, 1991	Toho
Fuzzical Fighter	—	May 17, 1991	Sigma Entertainment
Galaga	Galaga: Demons of Death	February 15, 1985	Namco
Galaxian	—	September 7, 1984	Namco
Gambler Jiko Chuushinha	—	November 11, 1988	Asmik
Gambler Jiko Chuushinha 2	—	December 7, 1990	Asmik
Game Party	—	August 3, 1990	Coconuts Japan
Ganbare Goemon! Karakuri Dōchū	—	July 30, 1986	Konami
Ganbare Goemon 2	—	January 4, 1989	Konami
Ganbare Goemon Gaiden: Kieta Ougon Kiseru	—	January 5, 1990	Konami
Ganbare Goemon Gaiden 2	—	January 3, 1992	Konami
Ganbare Pennant Race!	—	February 28, 1989	Konami
Ganso Saiyūki: Super Monkey Daibōken	—	November 21, 1986	VAP
Gegege no Kitaro: Youkai Daimakyou	Ninja Kid	April 17, 1986	Bandai
Gegege no Kitaro 2	—	December 22, 1987	Bandai
Geimos	—	August 28, 1985	ASCII
Gekikame Ninja Den	Teenage Mutant Ninja Turtles(USA version)
Teenage Mutant Hero Turtles (European version)	May 12, 1989	Konami
Gekitotsu Shiku Battle	—	November 17, 1989	Irem
Gekitou Pro Wrestling!! Toukon Densetsu	Tecmo World Wrestling	September 1, 1989	Tecmo
Gekitou!! Stadium	Bad News Baseball	December 15, 1989	Tecmo
Genpei Tōma Den	—	October 21, 1988	Namco
Getsu Fūma Den	—	July 7, 1987	Konami
Ghostbusters	Ghostbusters	September 22, 1986	Tokuma Shoten
Gimme a Break: Shijou Saikyou no Quiz Ou Ketteisen	—	December 13, 1991	Yonezawa PR21
Gimme a Break: Shijou Saikyou no Quiz Ou Ketteisen 2	—	August 28, 1992	Yonezawa PR21
Gimmick!	Mr. Gimmick	January 31, 1992	Sunsoft
Ginga Eiyuu Densetsu	—	December 21, 1988	Kemco
